"geno_name","source_lat","source_long","sexual_recruit","source_date","geno_definition","CSR_accession","mlg_id","geno_source","origin_nursery","microsat_id","mlg_geno_id","alt_names","geno_id"
"ML20",24.62167,-81.36313,0,"2009-12-15","SNP","872db3ae-86a5-3b36-9e16-4c44bf78006d","HG0570",NA,"Mote","C1191",607,NA,82
"ML13",24.59592,-81.37162,0,"2009-12-01","SNP","df436bc2-d933-9d4a-9edf-9a87f32b13a4","HG0596",NA,"Mote","C1365",616,NA,83
"ML34",24.53865,-81.44358,0,"2010-03-26","SNP","6b381507-b2e8-bc04-d7c3-4d45b2c14c68","HG0562",NA,"Mote","C1363",557,NA,84
"ML41",24.5532,-81.43758,0,"2010-05-10","SNP","e6a997cb-d2fa-4b69-e952-0dc7296da833","HG0594","STAGdb","Mote","C1374",590,"CRF-073",85
"ML1",24.56937,-81.33028,0,"2008-02-23","SNP","6980d186-6a74-087f-ff58-655003305365","HG0557",NA,"Mote","C1153",555,"CRF-025",86
"Alina-A",25.38605,-80.1632,0,"2010-01-01","microsat","858930cb-ca76-3ab0-0b7d-e161e5c5ac4d",NA,NA,"University of Miami","C1354",NA,NA,87
"Alina-B",25.38605,-80.1632,0,"2010-01-01","microsat","17deb3df-9233-b287-945c-0d0322d12703",NA,NA,"University of Miami","C1354",NA,NA,88
"Almost Done",25.46753,-80.13982,0,"2010-01-01","microsat","9ca51d30-1071-3398-fdfe-557b0f5c2222",NA,NA,"University of Miami","C1362",NA,NA,89
"Big Bertha",25.5167,-80.11608,0,"2010-01-01",NA,"ac02004c-d4f2-c2b7-bd75-88812b6d997a",NA,NA,"University of Miami",NA,NA,NA,90
"Britt's Reef",25.41008,-80.15655,0,"2010-01-01","microsat","a9ab9990-9f9b-9f44-0760-6c03b9c00435",NA,NA,"University of Miami","C1357",NA,NA,91
"Dom's Reef",25.50588,-80.12048,0,"2010-01-01","microsat","0ba5e119-97a4-ea85-e70f-1a3d91a1a482",NA,NA,"University of Miami","C1359",NA,NA,92
"Ford's Reef",25.49815,-80.12298,0,"2010-01-01","microsat","414aa326-27e4-cfea-21cd-e8a90a82090b",NA,NA,"University of Miami","C1351",NA,NA,93
"Fowey",25.58846,-80.1044,0,"2010-01-01","microsat","78033da1-41ab-7133-097f-0c6885724efa",NA,NA,"University of Miami","C1358",NA,NA,94
"Site 406",25.34175,-80.18547,0,"2010-01-01","microsat","972cbce8-0193-1e4d-fec1-2c85c77170b1",NA,NA,"University of Miami","C1360",NA,NA,95
"Trans 1",25.36132,-80.18852,0,"2010-01-01",NA,"c1e78a38-cdb8-0f27-ee4b-bf0f2c0a8b60",NA,NA,"University of Miami",NA,NA,NA,96
